latitude,longitude,altitude, rssi, rate,frequency,data_size, tower
-95.27921236,29.70704433,17.56,-38,1,2462,1000,1
-95.27921236,29.70704433,17.56,-39,1,2462,1000,1
-95.27921236,29.70704433,17.56,-38,1,2462,1000,1
-95.27921236,29.70704433,17.56,-39,1,2462,1000,1
-95.27921236,29.70704433,17.56,-37,1,2462,1000,1
-95.27921236,29.70705217,18.056,-39,1,2462,1000,1
-95.27921236,29.70705217,18.056,-39,1,2462,1000,1
-95.27921236,29.70705217,18.056,-38,1,2462,1000,1
-95.27921236,29.70705217,18.056,-38,1,2462,1000,1
-95.27921236,29.70705217,18.056,-37,1,2462,1000,1
-95.27921236,29.70705217,18.056,-37,1,2462,1000,1
-95.27921236,29.70704433,17.56,-39,1,2462,1000,1
-95.27921236,29.70704433,17.56,-38,1,2462,1000,1
-95.27921331,29.70704878,16.695,-38,1,2462,1000,1
-95.27921331,29.70704878,16.695,-38,1,2462,1000,1
-95.27921331,29.70704878,16.695,-38,1,2462,1000,1
-95.27921331,29.70704878,16.695,-38,1,2462,1000,1
-95.27921331,29.70704878,16.695,-38,1,2462,1000,1
-95.27921331,29.70704878,16.695,-38,1,2462,1000,1
-95.27921331,29.70704095,16.2,-37,1,2462,1000,1
-95.27921331,29.70704095,16.2,-37,1,2462,1000,1
-95.27921331,29.70704095,16.2,-38,1,2462,1000,1
-95.27921331,29.70704095,16.2,-37,1,2462,1000,1
-95.27921331,29.70704095,16.2,-38,1,2462,1000,1
-95.27921331,29.70704095,16.2,-38,1,2462,1000,1
-95.27921331,29.70704095,16.2,-38,1,2462,1000,1
-95.27921331,29.70704095,16.2,-38,1,2462,1000,1
-95.27921331,29.70704095,16.2,-38,1,2462,1000,1
-95.27921331,29.70704095,16.2,-37,1,2462,1000,1
-95.27921331,29.70704095,16.2,-37,1,2462,1000,1
-95.27921331,29.70704095,16.2,-38,1,2462,1000,1
-95.27921331,29.70704095,16.2,-38,1,2462,1000,1
-95.27921236,29.7070365,17.065,-38,1,2462,1000,1
-95.27921236,29.7070365,17.065,-38,1,2462,1000,1
-95.27921236,29.7070365,17.065,-38,1,2462,1000,1
-95.27921236,29.7070365,17.065,-38,1,2462,1000,1
-95.27921236,29.7070365,17.065,-37,1,2462,1000,1
-95.27921236,29.7070365,17.065,-37,1,2462,1000,1
-95.27920207,29.70703691,16.985,-37,1,2462,1000,1
-95.27920207,29.70703691,16.985,-37,1,2462,1000,1
-95.27920207,29.70703691,16.985,-37,1,2462,1000,1
-95.27920207,29.70703691,16.985,-38,1,2462,1000,1
-95.27920207,29.70703691,16.985,-38,1,2462,1000,1
-95.27920207,29.70702907,16.489,-39,1,2462,1000,1
