longitude,latitude,rssi
-95.27921236,29.70704433,-38
-95.27921236,29.70704433,-39
-95.27921236,29.70704433,-38
-95.27921236,29.70704433,-39
-95.27921236,29.70704433,-37
-95.27921236,29.70705217,-39
-95.27921236,29.70705217,-39
-95.27921236,29.70705217,-38
-95.27921236,29.70705217,-38
-95.27921236,29.70705217,-37
-95.27921236,29.70705217,-37
-95.27921236,29.70704433,-39
-95.27921236,29.70704433,-38
-95.27921331,29.70704878,-38
-95.27921331,29.70704878,-38
-95.27921331,29.70704878,-38
-95.27921331,29.70704878,-38
-95.27921331,29.70704878,-38
-95.27921331,29.70704878,-38
-95.27921331,29.70704095,-37
-95.27921331,29.70704095,-37
-95.27921331,29.70704095,-38
-95.27921331,29.70704095,-37
-95.27921331,29.70704095,-38
-95.27921331,29.70704095,-38
-95.27921331,29.70704095,-38
-95.27921331,29.70704095,-38
-95.27921331,29.70704095,-38
-95.27921331,29.70704095,-37
-95.27921331,29.70704095,-37
-95.27921331,29.70704095,-38
-95.27921331,29.70704095,-38
-95.27921236,29.7070365,-38
-95.27921236,29.7070365,-38
-95.27921236,29.7070365,-38
-95.27921236,29.7070365,-38
-95.27921236,29.7070365,-37
-95.27921236,29.7070365,-37
-95.27920207,29.70703691,-37
-95.27920207,29.70703691,-37
-95.27920207,29.70703691,-37
-95.27920207,29.70703691,-38
-95.27920207,29.70703691,-38
-95.27920207,29.70702907,-39
-95.27920207,29.70702907,-39
-95.27920207,29.70702907,-38
-95.27920207,29.70702907,-37
-95.27920207,29.70702907,-37
-95.27920207,29.70702907,-38
-95.27920207,29.70702907,-38
-95.27920207,29.70702907,-38
-95.27920207,29.70702907,-39
-95.27920207,29.70702907,-38
-95.27920207,29.70702907,-38
-95.27920207,29.70702907,-38
-95.27920207,29.70702907,-38
-95.27920207,29.70702907,-38
-95.27920207,29.70702907,-38
-95.27920207,29.70702907,-38
-95.27920207,29.70703691,-42
-95.27919273,29.70704961,-41
-95.27917215,29.70705827,-40
-95.27914128,29.7070595,-40
-95.27911879,29.70702791,-37
-95.27911784,29.70699995,-37
-95.27912528,29.70695484,-38
-95.27914016,29.70682545,-44
-95.27913635,29.70676062,-41
-95.27912226,29.70668054,-39
-95.2791316,29.70666001,-40
-95.27916152,29.70663865,-40
-95.27921297,29.70663659,-46
-95.279285,29.70662588,-49
-95.27937856,29.70662663,-49
-95.27957598,29.70662772,-45
-95.27979302,29.70661569,-47
-95.28013544,29.70660764,-55
-95.28024958,29.70659973,-49
-95.28035344,29.70659223,-49
-95.28046853,29.70658877,-51
-95.28063317,29.70656651,-48
-95.28066404,29.70655744,-50
-95.28069396,29.70654392,-60
-95.28073322,29.70650987,-42
-95.28076772,29.70638303,-51
-95.28076296,29.70630592,-55
-95.2807685,29.7062284,-69
-95.28077498,29.7061475,-66
-95.28077023,29.70607039,-62
-95.28076452,29.70598099,-68
-95.28076911,29.70588335,-62
-95.28076435,29.7057984,-51
-95.28075864,29.70569334,-51
-95.28074991,29.70532964,-67
-95.28074611,29.70525698,-73
-95.28074421,29.70521674,-73
-95.2807366,29.70508709,-66
-95.28072596,29.70469099,-62
-95.28072026,29.70458592,-61
-95.28070582,29.70410932,-68
-95.28070755,29.70393564,-55
-95.28071118,29.7038022,-60
-95.28080189,29.70375041,-67
-95.28088516,29.70374374,-72
-95.28097872,29.70373665,-75
-95.2813015,29.70373386,-74
-95.28141564,29.70372595,-79
-95.28152978,29.70372588,-82
-95.28175806,29.70371789,-84
-95.2818722,29.70370998,-79
-95.28198633,29.70370207,-82
-95.2822249,29.70369367,-80
-95.28233999,29.70369804,-80
-95.28244384,29.70369054,-80
-95.28267212,29.70369039,-80
-95.28301453,29.70368233,-85
-95.28324376,29.70367879,-82
-95.28327463,29.70367755,-81
-95.28327463,29.70367755,-81
-95.28328492,29.70368498,-80
-95.28328492,29.70368498,-78
-95.28334398,29.70382823,-88
-95.28335159,29.70398138,-84
-95.28334891,29.70412711,-79
-95.28335367,29.70421989,-79
-95.28334546,29.70445097,-81
-95.28335307,29.70458845,-78
-95.28335783,29.70468907,-80
-95.28335706,29.70485153,-71
-95.28336182,29.70493648,-76
-95.2833639,29.7051358,-77
-95.28336961,29.70524087,-71
-95.28336598,29.7053508,-73
-95.28337662,29.70573907,-72
-95.28338138,29.70582402,-74
-95.28337585,29.70591721,-77
-95.2833806,29.70600215,-84
-95.28338536,29.70607926,-72
-95.28337888,29.70615233,-72
-95.28338268,29.70622499,-79
-95.28338459,29.7062574,-69
-95.28338459,29.70626523,-71
-95.28338649,29.70629764,-74
-95.28340993,29.70634936,-72
-95.28346423,29.706392,-79
-95.28355779,29.70640058,-73
-95.28379827,29.70642459,-70
-95.284078,29.70643805,-78
-95.28420243,29.70643756,-68
-95.28464871,29.70645333,-74
-95.28473198,29.70646232,-78
-95.28477314,29.70646068,-76
-95.28500238,29.70646497,-81
-95.2851895,29.70646646,-73
-95.28533451,29.70647298,-74
-95.28560396,29.70647902,-74
-95.28576955,29.70648471,-80
-95.2858734,29.70648505,-72
-95.2859258,29.70648744,-79
-95.2860811,29.70648571,-80
-95.2862364,29.70648399,-74
-95.28641229,29.70648144,-72
-95.28652643,29.70648136,-72
-95.28658912,29.70648334,-84
-95.28685856,29.70648153,-78
-95.28689972,29.70647988,-77
-95.28703444,29.70647898,-77
-95.28717945,29.70647766,-78
-95.28767718,29.70647569,-76
-95.28772863,29.70647363,-76
-95.28789422,29.70646366,-77
-95.28805048,29.70646638,-80
-95.28862195,29.70629568,-80
-95.28890435,29.70613989,-79
-95.28906327,29.70601256,-82
-95.28934358,29.70563394,-82
-95.28941923,29.70550545,-84
-95.28950612,29.705381,-83
-95.28965856,29.70531107,-86
-95.28965856,29.70531107,-87
-95.2896679,29.70529837,-87
-95.2896679,29.70529837,-87
-95.28968848,29.70529754,-85
-95.28968848,29.70529754,-85
-95.28968753,29.70529309,-82
-95.28970811,29.70528443,-86
-95.28972869,29.70527577,-83
